Student_ID,Math,Science,English,History,Computer,Average_Score,Category
STU0001,80,62,84,87,87,80.0,Above Average
STU0002,74,63,58,62,76,66.6,Below Average
STU0003,89,78,87,79,78,82.2,Above Average
STU0004,99,89,100,83,83,90.8,Above Average
STU0005,53,63,72,62,73,64.6,Below Average
STU0006,58,73,88,63,70,70.4,Above Average
STU0007,94,79,80,92,96,88.2,Above Average
STU0008,84,78,66,73,84,77.0,Above Average
STU0009,70,65,45,79,73,66.4,Below Average
STU0010,100,81,93,66,72,82.4,Above Average
STU0011,70,71,72,62,75,70.0,Above Average
STU0012,76,54,64,59,66,63.8,Below Average
STU0013,82,59,76,90,90,79.4,Above Average
STU0014,54,59,35,49,42,47.8,Below Average
STU0015,46,52,76,62,63,59.8,Below Average
STU0016,71,57,65,45,65,60.6,Below Average
STU0017,50,72,59,61,53,59.0,Below Average
STU0018,71,75,82,84,70,76.4,Above Average
STU0019,54,70,64,60,57,61.0,Below Average
STU0020,54,54,56,66,56,57.2,Below Average
STU0021,100,100,79,81,92,90.4,Above Average
STU0022,49,83,72,84,63,70.2,Above Average
STU0023,78,69,92,98,71,81.6,Above Average
STU0024,37,62,68,49,70,57.2,Below Average
STU0025,59,69,81,58,77,68.8,Below Average
STU0026,82,84,66,89,75,79.2,Above Average
STU0027,57,48,45,75,56,56.2,Below Average
STU0028,64,81,73,68,75,72.2,Above Average
STU0029,56,72,63,58,68,63.4,Below Average
STU0030,73,51,79,63,58,64.8,Below Average
STU0031,55,52,44,47,61,51.8,Below Average
STU0032,94,74,100,81,79,85.6,Above Average
STU0033,70,67,68,58,73,67.2,Below Average
STU0034,51,64,53,48,62,55.6,Below Average
STU0035,100,93,69,79,76,83.4,Above Average
STU0036,62,56,37,58,68,56.2,Below Average
STU0037,52,87,82,91,63,75.0,Above Average
STU0038,48,34,47,35,35,39.8,Below Average
STU0039,47,39,40,66,56,49.6,Below Average
STU0040,81,72,58,70,81,72.4,Above Average
STU0041,71,82,75,78,92,79.6,Above Average
STU0042,71,72,90,80,68,76.2,Above Average
STU0043,74,50,66,55,77,64.4,Below Average
STU0044,75,66,50,71,66,65.6,Below Average
STU0045,40,41,50,54,51,47.2,Below Average
STU0046,58,67,58,67,68,63.6,Below Average
STU0047,60,68,35,68,70,60.2,Below Average
STU0048,76,74,82,100,70,80.4,Above Average
STU0049,92,69,72,66,86,77.0,Above Average
STU0050,53,39,57,42,60,50.2,Below Average
STU0051,61,73,94,66,69,72.6,Above Average
STU0052,75,74,78,59,69,71.0,Above Average
STU0053,83,53,59,54,66,63.0,Below Average
STU0054,88,82,65,92,79,81.2,Above Average
STU0055,67,78,100,99,78,84.4,Above Average
STU0056,76,74,82,74,76,76.4,Above Average
STU0057,73,59,60,50,60,60.4,Below Average
STU0058,59,57,66,72,76,66.0,Below Average
STU0059,78,69,76,67,78,73.6,Above Average
